uuid;name;duration;size;video_quality;stream_link
2a35aaca-3418-4a2f-b023-9222ca79bdf2;phpXcdxX3;22;26159135;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/2a35aaca-3418-4a2f-b023-9222ca79bdf2_phpxcdxx3.mp4
22e1c63c-4a62-44e7-812c-ddad9905a512;phpsXmDse;22;26162120;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/22e1c63c-4a62-44e7-812c-ddad9905a512_phpsxmdse.mp4
aac46bbf-825a-4715-9d7c-b66d0b5e5655;phpxaL8OZ;22;26162214;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/aac46bbf-825a-4715-9d7c-b66d0b5e5655_phpxal8oz.mp4
9a726af6-e06f-430c-828e-d74fc2f3e43f;php6LhQui;22;26173912;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/9a726af6-e06f-430c-828e-d74fc2f3e43f_php6lhqui.mp4
0eeb1667-7685-4032-ae58-f72fdcdf12e0;phpU6bevF;32;26174978;1280x720;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/0eeb1667-7685-4032-ae58-f72fdcdf12e0_phpu6bevf.mp4
7aa7cc46-b951-450b-8ac6-29e8664da11e;phpsfEXZx;22;26176199;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/7aa7cc46-b951-450b-8ac6-29e8664da11e_phpsfexzx.mp4
53b42b3e-44d8-43ed-abb6-eb50da28e5a2;phpr5fHNe;22;26176795;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/53b42b3e-44d8-43ed-abb6-eb50da28e5a2_phpr5fhne.mp4
e8052244-0007-4eb4-8624-e5a38ecb3c16;php5PIgsd;22;26188902;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/e8052244-0007-4eb4-8624-e5a38ecb3c16_php5pigsd.mp4
15a82884-6301-4e3c-9850-9091ddc7cf08;Baby-Foot De Table - 28376;30;26189291;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/15a82884-6301-4e3c-9850-9091ddc7cf08_baby-foot-de-table-28376.mp4
32a85898-5c14-4892-a53a-794bb3d5a9b4;phpFIbMQX;22;26191544;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/32a85898-5c14-4892-a53a-794bb3d5a9b4_phpfibmqx.mp4
